ca_collections.idno_institucion,ca_collections.preferred_labels_institucion,ca_collections.idno_fondo,ca_collections.preferred_labels_fondo,ca_collections.idno_subfondo,ca_collections.preferred_labels_subfondo,collection_type_subfondo,ca_collections.arrangement_subfondo,ca_collections.preferred_labels,ca_collections.arrangement,ca_collections.idno,ca_collections.extent_text,ca_collections.repository.repositoryName,ca_collections.scopecontent,ca_collections.accessrestrict,ca_collections.reproduction,ca_collections.note,ca_collections.repository.repositoryLocation,ca_places,ca_collections.description,ca_collections.relatedmaterial,ca_collections.unitdate.date_value,ca_collections.unitdate.dates_types
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T262,Caja 262,caja,"Archivo Histórico Rionegro, Gobierno, Caja 262",Carpeta 008,"Archivo Histórico Rionegro, Gobierno, Caja 262, Carpeta 008",CO.AHR.GOB.T262.T008,,Archivo Histórico de Rionegro,,Libre acceso,Libre reproducción,Policía | Manchado | rasgados | folios sueltos | humedad | apolillado,"AHR, Rionegro, Antioquia, Colombia",Rionegro,,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T268,Caja 268,caja,"Archivo Histórico Rionegro, Gobierno, Caja 268",Carpeta 007,"Archivo Histórico Rionegro, Gobierno, Caja 268, Carpeta 007",CO.AHR.GOB.T268.T007,,Archivo Histórico de Rionegro,,Libre acceso,Libre reproducción,Empleos. Arrugados |  manchados |  folios sueltos |  rasgados |  humedad,"AHR, Rionegro, Antioquia, Colombia",Rionegro,,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 001",CO.AHR.GOB.T277.T001,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 002",CO.AHR.GOB.T277.T002,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 003",CO.AHR.GOB.T277.T003,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 004",CO.AHR.GOB.T277.T004,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 005",CO.AHR.GOB.T277.T005,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 001",CO.AHR.GOB.T278.T001,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 002",CO.AHR.GOB.T278.T002,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 003",CO.AHR.GOB.T278.T003,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 004",CO.AHR.GOB.T278.T004,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T279,Caja 279,caja,"Archivo Histórico Rionegro, Gobierno, Caja 279",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 279, Carpeta 001",CO.AHR.GOB.T279.T001,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1887 - 1936,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T279,Caja 279,caja,"Archivo Histórico Rionegro, Gobierno, Caja 279",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 279, Carpeta 002",CO.AHR.GOB.T279.T002,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1887 - 1936,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T279,Caja 279,caja,"Archivo Histórico Rionegro, Gobierno, Caja 279",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 279, Carpeta 003",CO.AHR.GOB.T279.T003,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1887 - 1936,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T279,Caja 279,caja,"Archivo Histórico Rionegro, Gobierno, Caja 279",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 279, Carpeta 004",CO.AHR.GOB.T279.T004,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1887 - 1936,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T279,Caja 279,caja,"Archivo Histórico Rionegro, Gobierno, Caja 279",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 279, Carpeta 005",CO.AHR.GOB.T279.T005,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1887 - 1936,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 001",CO.AHR.GOB.T280.T001,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 002",CO.AHR.GOB.T280.T002,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 003",CO.AHR.GOB.T280.T003,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 004",CO.AHR.GOB.T280.T004,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 005",CO.AHR.GOB.T280.T005,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 006,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 006",CO.AHR.GOB.T280.T006,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 007,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 007",CO.AHR.GOB.T280.T007,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T280,Caja 280,caja,"Archivo Histórico Rionegro, Gobierno, Caja 280",Carpeta 008,"Archivo Histórico Rionegro, Gobierno, Caja 280, Carpeta 008",CO.AHR.GOB.T280.T008,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1891 - 1915,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T281,Caja 281,caja,"Archivo Histórico Rionegro, Gobierno, Caja 281",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 281, Carpeta 001",CO.AHR.GOB.T281.T001,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1909 - 1928,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T281,Caja 281,caja,"Archivo Histórico Rionegro, Gobierno, Caja 281",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 281, Carpeta 002",CO.AHR.GOB.T281.T002,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1909 - 1928,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T281,Caja 281,caja,"Archivo Histórico Rionegro, Gobierno, Caja 281",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 281, Carpeta 003",CO.AHR.GOB.T281.T003,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1909 - 1928,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T281,Caja 281,caja,"Archivo Histórico Rionegro, Gobierno, Caja 281",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 281, Carpeta 004",CO.AHR.GOB.T281.T004,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1909 - 1928,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T281,Caja 281,caja,"Archivo Histórico Rionegro, Gobierno, Caja 281",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 281, Carpeta 005",CO.AHR.GOB.T281.T005,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1909 - 1928,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T281,Caja 281,caja,"Archivo Histórico Rionegro, Gobierno, Caja 281",Carpeta 006,"Archivo Histórico Rionegro, Gobierno, Caja 281, Carpeta 006",CO.AHR.GOB.T281.T006,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1909 - 1928,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T282,Caja 282,caja,"Archivo Histórico Rionegro, Gobierno, Caja 282",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 282, Carpeta 001",CO.AHR.GOB.T282.T001,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1914 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T282,Caja 282,caja,"Archivo Histórico Rionegro, Gobierno, Caja 282",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 282, Carpeta 002",CO.AHR.GOB.T282.T002,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1914 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T282,Caja 282,caja,"Archivo Histórico Rionegro, Gobierno, Caja 282",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 282, Carpeta 003",CO.AHR.GOB.T282.T003,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1914 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T282,Caja 282,caja,"Archivo Histórico Rionegro, Gobierno, Caja 282",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 282, Carpeta 004",CO.AHR.GOB.T282.T004,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1914 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T282,Caja 282,caja,"Archivo Histórico Rionegro, Gobierno, Caja 282",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 282, Carpeta 005",CO.AHR.GOB.T282.T005,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1914 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T282,Caja 282,caja,"Archivo Histórico Rionegro, Gobierno, Caja 282",Carpeta 006,"Archivo Histórico Rionegro, Gobierno, Caja 282, Carpeta 006",CO.AHR.GOB.T282.T006,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1914 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T283,Caja 283,caja,"Archivo Histórico Rionegro, Gobierno, Caja 283",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 283, Carpeta 001",CO.AHR.GOB.T283.T001,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1920 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T283,Caja 283,caja,"Archivo Histórico Rionegro, Gobierno, Caja 283",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 283, Carpeta 002",CO.AHR.GOB.T283.T002,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1920 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T283,Caja 283,caja,"Archivo Histórico Rionegro, Gobierno, Caja 283",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 283, Carpeta 003",CO.AHR.GOB.T283.T003,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1920 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T283,Caja 283,caja,"Archivo Histórico Rionegro, Gobierno, Caja 283",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 283, Carpeta 004",CO.AHR.GOB.T283.T004,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1920 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T283,Caja 283,caja,"Archivo Histórico Rionegro, Gobierno, Caja 283",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 283, Carpeta 005",CO.AHR.GOB.T283.T005,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1920 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T283,Caja 283,caja,"Archivo Histórico Rionegro, Gobierno, Caja 283",Carpeta 006,"Archivo Histórico Rionegro, Gobierno, Caja 283, Carpeta 006",CO.AHR.GOB.T283.T006,,Archivo Histórico de Rionegro,Policía,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Policía,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1920 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T284,Caja 284,caja,"Archivo Histórico Rionegro, Gobierno, Caja 284",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 284, Carpeta 001",CO.AHR.GOB.T284.T001,,Archivo Histórico de Rionegro,Sumarios,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Sumarios,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1921 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T284,Caja 284,caja,"Archivo Histórico Rionegro, Gobierno, Caja 284",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 284, Carpeta 002",CO.AHR.GOB.T284.T002,,Archivo Histórico de Rionegro,Sumarios,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Sumarios,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1921 - 1924,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T284,Caja 284,caja,"Archivo Histórico Rionegro, Gobierno, Caja 284",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 284, Carpeta 003",CO.AHR.GOB.T284.T003,,Archivo Histórico de Rionegro,Sumarios,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Sumarios,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1921 - 1924,recordKeeping
